|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|
|   NUM   |   ENE   |   FEB   |   MAR   |   ABR   |   MAY   |   JUN   |   JUL   |   AGO   |   SEP   |   OCT   |   NOV   |   DIC   |
|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|
|     1   |    5.55 |    4.80 |    2.75 |   13.91 |    1.07 |    5.31 |    4.98 |   27.77 |   85.79 |   13.97 |   16.59 |   96.32 |
|     2   |   12.60 |   46.57 |    6.26 |   60.06 |    4.28 |   41.19 |   17.56 |   48.00 |   86.70 |   16.81 |   32.75 |   96.57 |
|     3   |   20.23 |   67.76 |   43.35 |   67.95 |   26.62 |   99.66 |   47.84 |   52.23 |  135.23 |   18.02 |   52.22 |  108.19 |
|     4   |   62.43 |   70.37 |   48.24 |   81.03 |   40.69 |  129.85 |   68.23 |   78.89 |  155.77 |   19.32 |   58.54 |  111.92 |
|     5   |   81.03 |  116.47 |   65.69 |   89.84 |   77.38 |  135.01 |   84.33 |   89.15 |  187.42 |   33.06 |   63.57 |  129.40 |
|     6   |  103.12 |  138.75 |   69.73 |  108.69 |   94.41 |  146.41 |  137.59 |  106.13 |  197.01 |   52.60 |   79.16 |  135.04 |
|     7   |  104.80 |  144.49 |   83.39 |  111.27 |  197.88 |  194.93 |  215.25 |  149.29 |  199.90 |   74.10 |  124.81 |  136.01 |
|     8   |  108.26 |  190.39 |   88.99 |  112.70 |  213.28 |  212.90 |  224.13 |  203.81 |  199.93 |   87.33 |  138.98 |  153.04 |
|     9   |  118.55 |  245.58 |  109.47 |  122.47 |  226.55 |  215.44 |  226.07 |  223.46 |  232.40 |  107.22 |  176.01 |  174.55 |
|    10   |  130.10 |  255.03 |  149.71 |  163.63 |  251.09 |  259.22 |  252.52 |  233.58 |  257.82 |  117.35 |  198.47 |  228.85 |
|    11   |  158.85 |  265.25 |  164.29 |  228.39 |  277.37 |  268.41 |  278.89 |  242.77 |  288.63 |  180.94 |  240.12 |  238.67 |
|    12   |  203.77 |  271.41 |  191.28 |  232.44 |  291.57 |  273.54 |  299.04 |  246.80 |  306.01 |  198.71 |  244.86 |  275.67 |
|    13   |  211.12 |  273.80 |  195.33 |  256.04 |  334.73 |  278.90 |  321.43 |  249.07 |  308.65 |  200.17 |  260.59 |  281.50 |
|    14   |  215.64 |  288.99 |  227.80 |  279.13 |  356.01 |  341.42 |  337.93 |  269.53 |  320.42 |  200.37 |  313.78 |  291.21 |
|    15   |  248.11 |  300.08 |  245.30 |  333.55 |  381.33 |  373.85 |  339.08 |  285.23 |  335.90 |  207.24 |  354.74 |  300.51 |
|    16   |  251.31 |  318.82 |  276.02 |  346.16 |  390.04 |  377.38 |  352.11 |  358.17 |  350.36 |  212.39 |  368.55 |  316.34 |
|    17   |  252.03 |  319.12 |  283.67 |  375.06 |  392.83 |  382.45 |  365.45 |  368.27 |  458.62 |  261.85 |  410.50 |  317.16 |
|    18   |  271.18 |  323.66 |  348.69 |  414.52 |  400.78 |  412.90 |  368.36 |  395.24 |  478.48 |  284.04 |  428.48 |  323.12 |
|    19   |  290.46 |  346.26 |  387.27 |  439.15 |  424.85 |  420.82 |  371.37 |  439.35 |  481.02 |  335.32 |  465.14 |  324.42 |
|    20   |  307.24 |  370.97 |  389.75 |  457.68 |  440.24 |  432.68 |  371.64 |  441.50 |  484.10 |  359.28 |  475.27 |  339.10 |
|    21   |  361.14 |  381.19 |  436.47 |  458.20 |  472.14 |  439.30 |  381.45 |  445.36 |  495.37 |  361.68 |  494.02 |  355.66 |
|    22   |  365.22 |  467.96 |  445.45 |  481.21 |  482.30 |  442.62 |  387.57 |  465.65 |  500.72 |  370.96 |  512.54 |  370.58 |
|    23   |  433.20 |  497.78 |  489.64 |  511.30 |  537.62 |  451.58 |  397.82 |  524.05 |  501.62 |  429.72 |  552.31 |  374.71 |
